index,d__Bacteria,source,Samplesite,Subsamplesite,treatment
HC-DS,21820.0,consortia,B,2-2,Diesel
HC-HD,25102.0,consortia,A,5-1,Hexadecane
HC-HX,23156.0,consortia,B,1-1,Hexane
HC-XY,23608.0,consortia,B,7-1,Xylene
