#OTU ID	HC-DS	HC-HD	HC-HX	HC-XY
EC:1.1.1.1	35458.9923762749	43148.5657643613	40565.2020765175	42096.1857914259
EC:1.1.1.10	0	2.32181992303682E-55	0	3.32706110693451E-55
EC:1.1.1.100	38017.5083772431	44191.1942732239	44362.7127371756	44436.4653553964
EC:1.1.1.101	0	2.71233594309481E-59	0	3.88665259337088E-59
EC:1.1.1.102	0	1.17495794203009E-15	0	1.68366066309705E-15
EC:1.1.1.103	9682.88425482022	10445.6653379329	11397.7178736663	9882.42463254456
EC:1.1.1.105	0	2.20724094693414E-56	0	3.16287470673986E-56
EC:1.1.1.107	0	1.52770418145952E-40	0	2.18912979193803E-40
EC:1.1.1.108	0	9	68	1.21585096039881E-46
EC:1.1.1.11	1783.75100323027	1826.28985450338	2059.80936141239	1715.18920119987
EC:1.1.1.122	916.730829487232	1435.34482922855	1266.02809162459	1083.24652031801
EC:1.1.1.125	11384.1302618865	11655.3551600034	12667.9224785793	12010.0914815771
EC:1.1.1.130	199.278633146	11.9000031993942	0.819635184917724	609.41653309949
EC:1.1.1.132	0	0.373158657482796	0	4.13835463206576E-49
EC:1.1.1.133	11133.4375495042	16311.9371328335	11801.9497094395	13949.1221844995
EC:1.1.1.136	530.627645917452	9	22.1323011829162	195.210895163098
EC:1.1.1.137	0.032303518168158	5.4544108378217E-42	0.471915990186129	7.81591973593847E-42
EC:1.1.1.14	3766.81539229909	3762.35451720777	3807.25010466223	3545.10474690801
EC:1.1.1.140	1041.78818832581	930.806984851809	996.341519830993	982.268749890159
EC:1.1.1.144	1.13679591292255E-11	1.76642140390427E-54	0.108702519227447	2.53120058669311E-54
EC:1.1.1.145	0	1.91419723823606E-56	0	2.74295655711609E-56
EC:1.1.1.157	1651.10209889529	1626.12077594181	992.085835587555	3534.13971462387
EC:1.1.1.159	0.142910931976798	1.93629626226089E-38	2.37843460681119	2.77462344161679E-38
EC:1.1.1.163	0	8.2507106738454E-54	38.6366377017201	1.18228887241248E-53
EC:1.1.1.169	11772.061238881	14464.9018254151	12441.3301626787	12415.8588798971
EC:1.1.1.17	9934.62370171152	10321.6917612501	11212.3868106061	9815.87110772719
EC:1.1.1.170	0	2.16546760959579E-54	0	3.10301543661029E-54
EC:1.1.1.173	0	1.92611375699775E-51	0	2.76003238014126E-51
EC:1.1.1.178	0	3.12973651625209E-123	0	4.48476840725684E-123
EC:1.1.1.179	0	1.17046462270158E-128	0	1.67722194326757E-128
EC:1.1.1.18	2763.5201940832	2653.90158498313	2811.47402321674	2509.29005044102
EC:1.1.1.181	0	1.74759450995328E-57	0	2.50422251401518E-57
EC:1.1.1.193	11301.0067980745	13129.2266147483	12838.2277401784	12990.4537544257
EC:1.1.1.195	0	2.66309995853242E-125	0	3.81609969317659E-125
EC:1.1.1.2	4.66374416087384	2.86275672673828	0	3.05795543124019
EC:1.1.1.202	430.39661779359	4.38765088265898E-13	0.415269474232228	6.28730180909471E-13
EC:1.1.1.203	66.28	1326.5	68	575.892697252935
EC:1.1.1.205	18890.3011618749	21181.5254365234	21618.0503720201	20648.2235713456
EC:1.1.1.206	0	8.87948184825476E-52	15.8	17.4
