# Constructed from biom file
#OTU ID	HC-DS	HC-HD	HC-HX	HC-XY
1CMET2-PWY	12187.937107234373	14236.771880568665	13965.698100599127	14078.508533273736
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1451.931217238405	1245.9113741632639	1633.7948444494727	1474.1410216354745
AEROBACTINSYN-PWY	1.3333333333333334e-16	33.80045647681297	1.3333333333333334e-16	32.63301592559649
ALL-CHORISMATE-PWY	0.0	495.5097827054412	0.0	2563.5459220550833
ANAEROFRUCAT-PWY	7764.7037009752	12385.046462922739	5748.966074442566	9811.545446035081
ANAGLYCOLYSIS-PWY	6423.009490061655	11271.14849496965	4468.919170848684	8480.418590970743
ARG+POLYAMINE-SYN	2760.7057315421075	4103.59824875147	714.9451199805338	2668.4415188022645
ARGDEG-PWY	0.0	46.62329018799707	0.0	422.00456214154235
ARGORNPROST-PWY	1594.952705203935	2462.7522111405447	107.47615886945819	2352.709807184409
ARGSYN-PWY	11572.751966412885	14002.902871895787	13066.635352455025	12967.376190552204
ARGSYNBSUB-PWY	12935.043850160575	15549.366606967189	14450.872107383244	14399.34894807936
ARO-PWY	11928.58766887174	14116.353410237441	13676.457621249172	13865.89634570004
ASPASN-PWY	11005.41516580783	12499.795157884642	12632.011121620435	12809.482681273315
AST-PWY	0.0	47.58563991056674	2415.7546055027856	3173.3797930068667
BIOTIN-BIOSYNTHESIS-PWY	14991.900848175654	17492.90103387391	17568.107762521027	17222.06010982618
BRANCHED-CHAIN-AA-SYN-PWY	13357.213803303412	15626.364076410604	15185.348936698461	15577.923185815142
CALVIN-PWY	15335.208383978614	17291.45342708204	17035.23250369273	18027.076802039734
CATECHOL-ORTHO-CLEAVAGE-PWY	86.5035576649417	1474.150275386714	716.6425700761057	2041.7488063548353
CENTFERM-PWY	833.8099372201636	78.45482009028483	134.83490667486197	957.1464797059692
CHLOROPHYLL-SYN	0.0	0.0	16.00790297714541	0.0
COA-PWY	10533.063065605962	12432.462597414727	11951.993761460326	12112.953347506033
