index,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Firmicutes;c__Desulfitobacteriia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,source,Samplesite,Subsamplesite,treatment
HC-DS,7.0,19209.0,1236.0,1326.0,0.0,0.0,42.0,0.0,consortia,B,2-2,Diesel
HC-HD,0.0,22863.0,2201.0,0.0,29.0,0.0,0.0,9.0,consortia,A,5-1,Hexadecane
HC-HX,34.0,22967.0,47.0,4.0,48.0,2.0,54.0,0.0,consortia,B,1-1,Hexane
HC-XY,0.0,22398.0,1159.0,51.0,0.0,0.0,0.0,0.0,consortia,B,7-1,Xylene
