index,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae,d__Bacteria;p__Firmicutes;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,source,Samplesite,Subsamplesite,treatment
HC-DS,7.0,19093.0,918.0,1326.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,318.0,0.0,42.0,0.0,0.0,0.0,consortia,B,2-2,Diesel
HC-HD,0.0,20480.0,2201.0,0.0,0.0,0.0,0.0,0.0,0.0,2290.0,29.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,9.0,consortia,A,5-1,Hexadecane
HC-HX,6.0,22284.0,0.0,0.0,4.0,68.0,3.0,536.0,28.0,0.0,0.0,79.0,2.0,44.0,0.0,54.0,48.0,0.0,0.0,consortia,B,1-1,Hexane
HC-XY,0.0,19257.0,740.0,51.0,0.0,0.0,0.0,1967.0,0.0,889.0,0.0,87.0,0.0,419.0,130.0,0.0,0.0,68.0,0.0,consortia,B,7-1,Xylene
